District,Council_Member,Donors,Term_Limited,,,,,,,,
1,Margaret S. Chin,1039,2021,,,,,,,,
2,Carlina Rivera,1092,2025,,,,,,,,
3,Corey Johnson,1264,2021,,,,,,,,
4,Keith Powers,748,2025,,,,,,,,
5,Ben Kallos,822,2021,,,,,,,,
6,Helen Rosenthal,1145,2021,,,,,,,,
7,Mark Levine,990,2021,,,,,,,,
8,Diana Ayala,337,2025,,,,,,,,
9,Bill Perkins,675,2025,,,,,,,,
10,Ydanis Rodriguez,880,2021,,,,,,,,
11,Andrew Cohen,478,2021,,,,,,,,
12,Andy King,112,2021,,,,,,,,
13,Mark Gjonaj,297,2025,,,,,,,,
14,Fernando Cabrera,178,2021,,,,,,,,
15,Ritchie J. Torres,154,2021,,,,,,,,
16,Vanessa L. Gibson,134,2021,,,,,,,,
17,Rafael Salamanca Jr.,139,2025,,,,,,,,
18,"Ruben Diaz, Sr.",178,2025,,,,,,,,
19,Paul Vallone,224,2021,,,,,,,,
20,Peter Koo,108,2021,,,,,,,,
21,Francisco Moya,106,2025,,,,,,,,
22,Costa Constantinides,546,2021,,,,,,,,
23,Barry Grodenchik,163,2025,,,,,,,,
24,Rory I. Lancman,193,2021,,,,,,,,
25,Daniel Dromm,264,2021,,,,,,,,
26,Jimmy Van Bramer,554,2021,,,,,,,,
27,I. Daneek Miller,88,2021,,,,,,,,
28,Adrienne E. Adams,79,2025,,,,,,,,
29,Karen Koslowitz,360,2021,,,,,,,,
30,Robert Holden,261,2025,,,,,,,,
31,Donovan J. Richards,64,2021,,,,,,,,
32,Eric A. Ulrich,215,2021,,,,,,,,
33,Stephen T. Levin,1772,2021,,,,,,,,
34,Antonio Reynoso,1931,2021,,,,,,,,
35,Laurie A. Cumbo,1674,2021,,,,,,,,
36,"Robert E. Cornegy, Jr.",1491,2021,,,,,,,,
37,Vacant ,852,2029,,,,,,,,
38,Carlos Menchaca,702,2021,,,,,,,,
39,Brad Lander,1908,2021,,,,,,,,
40,Mathieu Eugene,1067,2021,,,,,,,,
41,Alicka Ampry-Samuel,297,2025,,,,,,,,
42,Inez Barron,79,2021,,,,,,,,
43,Justin Brannan,481,2025,,,,,,,,
44,Kalman Yeger,142,2025,,,,,,,,
45,Farah N. Louis,289,2029,,,,,,,,
46,Alan N. Maisel,199,2021,,,,,,,,
47,Mark Treyger,176,2021,,,,,,,,
48,Chaim M. Deutsch,292,2021,,,,,,,,
49,Deborah Rose,340,2021,,,,,,,,
50,Steven Matteo,250,2021,,,,,,,,
51,Joseph C. Borelli,249,2025,,,,,,,,
